cross_over_date_strong,Name,mov2,mov1
2021-05-12,ANDHRACEMT,20.0,50.0
2021-05-21,ANDHRAPAP,20,50
2021-04-16,ANDHRSUGAR,20.0,50.0
2021-09-17,ANDHRSUGAR,20.0,50.0
2021-04-26,ANGELBRKG,20,50
2020-12-04,ANIKINDS,20.0,50.0
2021-03-04,ANIKINDS,20.0,50.0
2021-05-28,ANIKINDS,20.0,50.0
2021-05-14,ANKITMETAL,20,50
,ANMOL,20,50
2021-06-04,ANSALAPI,20,50
2021-05-21,ANSALHSG,20,50
2021-05-17,ANUP,20,50
,ANURAS,20,50
,APARINDS,20,50
2021-01-05,APCL,20.0,50.0
2021-02-02,APCL,20.0,50.0
2021-03-04,APCL,20.0,50.0
2021-04-08,APCL,20.0,50.0
2021-05-12,APCL,20.0,50.0
2021-04-23,APCOTEXIND,20.0,50.0
2021-07-28,APCOTEXIND,20.0,50.0
2021-08-31,APCOTEXIND,20.0,50.0
2021-09-06,APCOTEXIND,20.0,50.0
2021-05-11,APEX,20,50
2021-05-27,APLAPOLLO,20.0,50.0
2021-06-03,APLAPOLLO,20.0,50.0
2021-04-05,APLLTD,20.0,50.0
2021-06-16,APLLTD,20.0,50.0
2021-05-12,APOLLO,20.0,50.0
2021-09-15,APOLLO,20.0,50.0
,APOLLOHOSP,20,50
2021-03-02,APOLLOPIPE,20.0,50.0
2021-07-26,APOLLOPIPE,20.0,50.0
2021-05-28,APOLLOTYRE,20,50
2021-04-12,APOLSINHOT,20.0,50.0
2021-04-26,APOLSINHOT,20.0,50.0
2021-08-16,APOLSINHOT,20.0,50.0
2021-05-19,APTECHT,20,50
2021-05-12,ARCHIDPLY,20,50
2021-05-11,ARCHIES,20,50
2021-05-03,ARENTERP,20,50
2021-05-06,ARIES,20,50
2021-05-21,ARIHANT,20,50
,ARIHANTCAP,20,50
2021-04-13,ARIHANTSUP,20,50
2021-06-02,ARMANFIN,20.0,50.0
2021-09-02,ARMANFIN,20.0,50.0
2021-05-11,AROGRANITE,20,50
2020-12-08,ARROWGREEN,20.0,50.0
2021-05-10,ARROWGREEN,20.0,50.0
2021-06-11,ARSHIYA,20,50
2021-04-19,ARSSINFRA,20,50
2021-05-14,ARVIND,20,50
2021-02-19,ARVINDFASN,20.0,50.0
2021-05-27,ARVINDFASN,20.0,50.0
2021-07-08,ARVINDFASN,20.0,50.0
2021-05-25,ARVSMART,20,50
2021-05-27,ASAHIINDIA,20.0,50.0
2021-08-30,ASAHIINDIA,20.0,50.0
2021-09-09,ASAHIINDIA,20.0,50.0
2021-07-23,ASAHISONG,20,50
2021-05-17,ASAL,20,50
,ASALCBR,20,50
2020-12-09,ASHAPURMIN,20.0,50.0
2021-04-28,ASHAPURMIN,20.0,50.0
2021-02-23,ASHIANA,20.0,50.0
2021-06-02,ASHIANA,20.0,50.0
,ASHIMASYN,20,50
2021-06-03,ASHOKA,20,50
2021-05-20,ASHOKLEY,20.0,50.0
2021-07-30,ASHOKLEY,20.0,50.0
2021-05-20,ASIANHOTNR,20,50
2021-04-01,ASIANPAINT,20.0,50.0
2021-08-23,ASIANPAINT,20.0,50.0
2021-02-02,ASIANTILES,20.0,50.0
2021-05-20,ASIANTILES,20.0,50.0
2021-05-19,ASPINWALL,20,50
2020-12-17,ASTEC,20.0,50.0
2021-04-26,ASTEC,20.0,50.0
2021-04-27,ASTERDM,20,50
2021-04-26,ASTRAL,20.0,50.0
2021-05-19,ASTRAL,20.0,50.0
2021-09-03,ASTRAL,20.0,50.0
2021-09-13,ASTRAL,20.0,50.0
2020-12-04,ASTRAMICRO,20.0,50.0
2021-03-04,ASTRAMICRO,20.0,50.0
2021-05-27,ASTRAMICRO,20.0,50.0
2021-09-16,ASTRAMICRO,20.0,50.0
2021-04-22,ASTRAZEN,20,50
2020-12-08,ASTRON,20.0,50.0
2021-05-26,ASTRON,20.0,50.0
2021-04-26,ATFL,20.0,50.0
2021-07-20,ATFL,20.0,50.0
2021-08-26,ATGL,20,50
2021-05-12,ATLANTA,20,50
2021-08-17,ATUL,20.0,50.0
2021-09-07,ATUL,20.0,50.0
2021-02-26,ATULAUTO,20.0,50.0
2021-05-24,ATULAUTO,20.0,50.0
2021-06-21,AUBANK,20,50
2020-12-07,AURIONPRO,20.0,50.0
2021-03-09,AURIONPRO,20.0,50.0
2021-07-07,AURIONPRO,20.0,50.0
2021-04-15,AUROPHARMA,20,50
2021-03-09,AUSOMENT,20.0,50.0
2021-04-08,AUSOMENT,20.0,50.0
2021-05-20,AUTOAXLES,20,50
2021-03-12,AUTOIND,20.0,50.0
2021-06-07,AUTOIND,20.0,50.0
2021-04-19,AVADHSUGAR,20,50
2021-04-26,AVANTIFEED,20,50
2021-04-28,AVTNPL,20.0,50.0
2021-09-15,AVTNPL,20.0,50.0
2021-05-04,AWHCL,20,50
2021-05-21,AXISBANK,20.0,50.0
2021-08-12,AXISBANK,20.0,50.0
2021-08-30,AXISBANK,20.0,50.0
2021-04-15,AXISCADES,20,50
2021-05-10,AYMSYNTEX,20,50
2021-03-17,BAFNAPH,20.0,50.0
2021-06-09,BAFNAPH,20.0,50.0
2021-07-15,BAFNAPH,20.0,50.0
2020-12-07,BAGFILMS,20.0,50.0
2021-05-05,BAGFILMS,20.0,50.0
2021-05-05,BAJAJ-AUTO,20,50
,BAJAJCON,20,50
2021-07-27,BAJAJELEC,20,50
2021-04-29,BAJAJFINSV,20,50
2021-03-03,BAJAJHIND,20.0,50.0
2021-05-03,BAJAJHIND,20.0,50.0
2021-05-14,BAJAJHLDNG,20,50
2021-02-03,BAJFINANCE,20.0,50.0
2021-05-07,BAJFINANCE,20.0,50.0
2020-12-09,BALAJITELE,20.0,50.0
2021-05-24,BALAJITELE,20.0,50.0
,BALAMINES,20,50
2021-04-13,BALAXI,20.0,50.0
2021-04-30,BALAXI,20.0,50.0
2021-03-22,BALKRISHNA,20.0,50.0
2021-05-21,BALKRISHNA,20.0,50.0
2021-07-19,BALKRISHNA,20.0,50.0
